FoodCodes	drxfcsd	Main.food.description	Old.Main.food.description	ModCode	FoodID
92900200	FRUIT-FLAV BEV, DRY CONC,LO CAL(INCL CRYSTAL LIGHT)	Fruit_flavored_beverage_dry_concentrate_low_calorie_not_reconstituted	Fruit-flavored beverage, dry concentrate, low calorie, not reconstituted	0	92900200.0
93101000	BEER (INCLUDE ALE)	Beer	Beer	0	93101000.0
93102000	BEER, LITE	Beer_lite	Beer, lite	0	93102000.0
93201000	CORDIAL OR LIQUEUR	Cordial_or_liqueur	Cordial or liqueur	0	93201000.0
93301000	COCKTAILS, NFS	Cocktail_NFS	Cocktail, NFS	0	93301000.0
93301020	BACARDI COCKTAIL	Bacardi_cocktail	Bacardi cocktail	0	93301020.0
93301030	BLOODY MARY	Bloody_Mary	Bloody Mary	0	93301030.0
93301032	CAPE COD	Cape_Cod	Cape Cod	0	93301032.0
93301040	DAIQUIRI	Daiquiri	Daiquiri	0	93301040.0
93301060	GIN  TONIC	Gin_and_Tonic	Gin and Tonic	0	93301060.0
93301090	MANHATTAN	Manhattan	Manhattan	0	93301090.0
93301100	MARGARITA	Margarita	Margarita	0	93301100.0
93301110	MARTINI	Martini	Martini	0	93301110.0
93301130	OLD FASHIONED	Old_fashioned	Old fashioned	0	93301130.0
93301140	SCREWDRIVER (INCLUDE HARVEY WALLBANGER, SLO-SCREW)	Screwdriver	Screwdriver	0	93301140.0
93301141	SEABREEZE	Seabreeze	Seabreeze	0	93301141.0
93301142	SEVEN AND SEVEN	Seven_and_Seven	Seven and Seven	0	93301142.0
93301160	WHISKEY SOUR(INCL SCOTCH,VODKA,APRICOT,BRANDY SOUR)	Whiskey_sour	Whiskey sour	0	93301160.0
93301170	BOURBON  SODA (INCLUDE SCOTCH  SODA, RUM  SODA)	Bourbon_and_soda	Bourbon and soda	0	93301170.0
93301190	RUM  COLA	Rum_and_cola	Rum and cola	0	93301190.0
93301200	PINA COLADA	Pina_Colada	Pina Colada	0	93301200.0
93301240	BLACK RUSSIAN	Black_Russian	Black Russian	0	93301240.0
93301250	WHITE RUSSIAN	White_Russian	White Russian	0	93301250.0
93301270	FRUIT PUNCH, ALCOHOLIC	Fruit_punch_alcoholic	Fruit punch, alcoholic	0	93301270.0
93301310	MAI TAI	Mai_Tai	Mai Tai	0	93301310.0
93301360	LONG ISLAND ICED TEA	Long_Island_iced_tea	Long Island iced tea	0	93301360.0
93301400	IRISH COFFEE (INCL COFFEE ROYALE)	Irish_Coffee	Irish Coffee	0	93301400.0
93301450	LIQUEUR W/ CREAM	Liqueur_with_cream	Liqueur with cream	0	93301450.0
93301500	FROZEN DAIQUIRI	Frozen_daiquiri	Frozen daiquiri	0	93301500.0
93301510	FROZEN MARGARITA	Frozen_margarita	Frozen margarita	0	93301510.0
93301550	EGGNOG, ALCOHOLIC	Eggnog_alcoholic	Eggnog, alcoholic	0	93301550.0
93401010	WINE, TABLE, RED	Wine_table_red	Wine, table, red	0	93401010.0
93401020	WINE, TABLE, WHITE	Wine_table_white	Wine, table, white	0	93401020.0
93401100	WINE, RICE (INCLUDE SAKI)	Wine_rice	Wine, rice	0	93401100.0
93402000	WINE, DESSERT (INCLUDE MARSALA, PORT, MADEIRA)	Wine_dessert_sweet	Wine, dessert, sweet	0	93402000.0
93404000	WINE COOLER	Wine_cooler	Wine cooler	0	93404000.0
93501000	BRANDY (INCLUDE APPLEJACK, COGNAC)	Brandy	Brandy	0	93501000.0
